
🏆 INSTITUTIONAL BACKTEST REPORT [V1.52 - Engine Alpha (Hybrid Stop & 1.5R)] 🏆
Total Trades: 58
Wins: 34 | Losses: 24
Win Rate: 58.62%
Net Units (R): +27.00 R

📅 MONTHLY BREAKDOWN:
- 2026-05 | Trades: 36 | Wins: 23 | Losses: 13 | WR: 63.89% | Net Units: +21.50 R
- 2026-06 | Trades: 22 | Wins: 11 | Losses: 11 | WR: 50.00% | Net Units: +5.50 R

📝 DETAILED TRADE JOURNAL:
05-20 Wed Hr:08 | SHT | L | VW:-8.1 | Vx:0.9 | PB:3.3 | Prc:1.3 | RN:16.6 | ADX:15 | EG:8.5 | hRSI:48 | ATR:4.0 | B:5 | SL:6.8 | SVR:3.5 | MAE:9.2 | MFE:1.9 | AH_Dst:-23.1 | AL_Dst:-7.4 | LWk:2% | UWk:56%
05-20 Wed Hr:09 | SHT | L | VW:-5.8 | Vx:0.9 | PB:3.5 | Prc:4.2 | RN:14.4 | ADX:13 | EG:8.4 | hRSI:50 | ATR:3.7 | B:20 | SL:7.4 | SVR:3.6 | MAE:7.5 | MFE:5.3 | AH_Dst:-20.9 | AL_Dst:-9.6 | LWk:3% | UWk:3%
05-21 Thu Hr:07 | LNG | L | VW:5.3 | Vx:1.5 | PB:3.4 | Prc:2.4 | RN:12.0 | ADX:14 | EG:17.1 | hRSI:53 | ATR:3.1 | B:5 | SL:9.4 | SVR:3.3 | MAE:14.7 | MFE:1.2 | AH_Dst:-1.8 | AL_Dst:-12.4 | LWk:11% | UWk:21%
05-21 Thu Hr:07 | LNG | W | VW:0.6 | Vx:0.8 | PB:2.1 | Prc:5.0 | RN:18.6 | ADX:24 | EG:13.6 | hRSI:43 | ATR:4.0 | B:6 | SL:8.5 | SVR:7.4 | MAE:4.2 | MFE:16.3 | AH_Dst:-8.4 | AL_Dst:-5.8 | LWk:0% | UWk:24%
05-21 Thu Hr:09 | LNG | L | VW:6.3 | Vx:0.8 | PB:4.6 | Prc:1.5 | RN:11.1 | ADX:27 | EG:17.6 | hRSI:52 | ATR:5.5 | B:27 | SL:7.5 | SVR:3.9 | MAE:14.7 | MFE:7.5 | AH_Dst:-0.9 | AL_Dst:-13.3 | LWk:20% | UWk:28%
05-21 Thu Hr:11 | LNG | L | VW:4.4 | Vx:0.6 | PB:3.2 | Prc:0.9 | RN:13.0 | ADX:19 | EG:15.1 | hRSI:49 | ATR:4.5 | B:7 | SL:5.8 | SVR:5.2 | MAE:9.0 | MFE:2.2 | AH_Dst:-2.8 | AL_Dst:-11.4 | LWk:18% | UWk:8%
05-21 Thu Hr:15 | SHT | L | VW:-19.5 | Vx:1.2 | PB:5.7 | Prc:3.2 | RN:6.3 | ADX:16 | EG:7.5 | hRSI:46 | ATR:5.7 | B:43 | SL:7.7 | SVR:2.4 | MAE:13.9 | MFE:10.7 | AH_Dst:-33.5 | AL_Dst:19.3 | LWk:0% | UWk:17%
05-22 Fri Hr:07 | LNG | W | VW:-0.9 | Vx:0.9 | PB:2.1 | Prc:6.4 | RN:24.8 | ADX:29 | EG:1.8 | hRSI:33 | ATR:3.3 | B:112 | SL:8.9 | SVR:3.7 | MAE:8.6 | MFE:15.0 | AH_Dst:-7.1 | AL_Dst:-8.3 | LWk:6% | UWk:3%
05-22 Fri Hr:15 | LNG | W | VW:9.1 | Vx:0.9 | PB:5.4 | Prc:1.8 | RN:12.6 | ADX:16 | EG:7.1 | hRSI:54 | ATR:5.6 | B:49 | SL:9.4 | SVR:3.9 | MAE:7.2 | MFE:16.1 | AH_Dst:5.1 | AL_Dst:-20.5 | LWk:29% | UWk:6%
05-25 Mon Hr:07 | LNG | W | VW:4.0 | Vx:1.1 | PB:1.5 | Prc:2.9 | RN:15.5 | ADX:20 | EG:35.0 | hRSI:48 | ATR:2.8 | B:71 | SL:8.0 | SVR:5.4 | MAE:6.0 | MFE:12.2 | AH_Dst:-4.2 | AL_Dst:-10.2 | LWk:5% | UWk:2%
05-26 Tue Hr:08 | SHT | L | VW:-10.0 | Vx:0.8 | PB:2.1 | Prc:1.4 | RN:22.7 | ADX:16 | EG:1.0 | hRSI:39 | ATR:3.2 | B:3 | SL:5.5 | SVR:3.0 | MAE:6.5 | MFE:0.7 | AH_Dst:-16.0 | AL_Dst:0.9 | LWk:19% | UWk:10%
05-26 Tue Hr:11 | SHT | W | VW:-8.1 | Vx:1.3 | PB:3.9 | Prc:1.1 | RN:24.1 | ADX:21 | EG:5.8 | hRSI:50 | ATR:3.1 | B:44 | SL:9.2 | SVR:5.2 | MAE:4.2 | MFE:17.5 | AH_Dst:-14.6 | AL_Dst:-0.5 | LWk:7% | UWk:9%
05-27 Wed Hr:07 | SHT | W | VW:-2.0 | Vx:0.7 | PB:1.4 | Prc:2.3 | RN:0.1 | ADX:23 | EG:10.7 | hRSI:50 | ATR:2.5 | B:16 | SL:5.5 | SVR:5.4 | MAE:1.7 | MFE:8.9 | AH_Dst:-6.7 | AL_Dst:-5.8 | LWk:26% | UWk:4%
05-27 Wed Hr:08 | SHT | W | VW:-7.1 | Vx:1.1 | PB:3.8 | Prc:3.2 | RN:5.9 | ADX:17 | EG:13.0 | hRSI:46 | ATR:3.2 | B:72 | SL:8.8 | SVR:2.5 | MAE:8.0 | MFE:13.8 | AH_Dst:-12.7 | AL_Dst:0.2 | LWk:5% | UWk:6%
05-27 Wed Hr:12 | SHT | L | VW:-8.0 | Vx:0.9 | PB:3.2 | Prc:5.7 | RN:10.3 | ADX:29 | EG:16.1 | hRSI:54 | ATR:4.3 | B:25 | SL:9.6 | SVR:6.9 | MAE:12.4 | MFE:1.1 | AH_Dst:-17.1 | AL_Dst:4.6 | LWk:15% | UWk:4%
05-28 Thu Hr:08 | SHT | L | VW:-1.5 | Vx:0.8 | PB:3.5 | Prc:2.7 | RN:2.2 | ADX:17 | EG:33.5 | hRSI:51 | ATR:3.3 | B:9 | SL:5.9 | SVR:2.5 | MAE:6.0 | MFE:2.9 | AH_Dst:-10.0 | AL_Dst:-30.4 | LWk:8% | UWk:15%
05-28 Thu Hr:09 | SHT | W | VW:0.1 | Vx:0.5 | PB:1.9 | Prc:3.3 | RN:0.3 | ADX:16 | EG:30.4 | hRSI:54 | ATR:2.9 | B:10 | SL:6.1 | SVR:4.4 | MAE:3.1 | MFE:9.9 | AH_Dst:-8.1 | AL_Dst:-32.3 | LWk:3% | UWk:29%
05-29 Fri Hr:07 | SHT | W | VW:-7.7 | Vx:0.8 | PB:3.5 | Prc:1.7 | RN:17.6 | ADX:23 | EG:4.4 | hRSI:54 | ATR:3.3 | B:8 | SL:8.5 | SVR:3.3 | MAE:4.6 | MFE:13.1 | AH_Dst:-12.1 | AL_Dst:-0.5 | LWk:16% | UWk:22%
05-29 Fri Hr:14 | LNG | W | VW:12.6 | Vx:1.3 | PB:6.4 | Prc:5.1 | RN:6.2 | ADX:22 | EG:3.6 | hRSI:62 | ATR:4.8 | B:2 | SL:14.5 | SVR:2.6 | MAE:6.0 | MFE:22.6 | AH_Dst:-0.7 | AL_Dst:-11.9 | LWk:25% | UWk:21%
06-01 Mon Hr:10 | LNG | L | VW:5.7 | Vx:1.1 | PB:2.6 | Prc:4.0 | RN:14.7 | ADX:31 | EG:15.3 | hRSI:46 | ATR:2.8 | B:46 | SL:7.5 | SVR:2.6 | MAE:8.1 | MFE:4.0 | AH_Dst:-11.4 | AL_Dst:-15.3 | LWk:6% | UWk:0%
06-02 Tue Hr:09 | LNG | L | VW:5.3 | Vx:1.0 | PB:2.0 | Prc:1.2 | RN:20.3 | ADX:17 | EG:13.6 | hRSI:52 | ATR:2.5 | B:81 | SL:5.5 | SVR:3.4 | MAE:8.0 | MFE:7.3 | AH_Dst:-11.3 | AL_Dst:-13.2 | LWk:13% | UWk:13%
06-03 Wed Hr:07 | SHT | L | VW:-8.3 | Vx:0.8 | PB:2.4 | Prc:1.5 | RN:1.9 | ADX:20 | EG:8.0 | hRSI:43 | ATR:3.1 | B:4 | SL:6.0 | SVR:3.9 | MAE:10.2 | MFE:5.4 | AH_Dst:-15.8 | AL_Dst:-11.2 | LWk:3% | UWk:37%
06-03 Wed Hr:08 | SHT | W | VW:-4.0 | Vx:0.5 | PB:1.6 | Prc:4.5 | RN:2.0 | ADX:20 | EG:6.3 | hRSI:50 | ATR:3.7 | B:10 | SL:6.6 | SVR:5.1 | MAE:2.9 | MFE:11.0 | AH_Dst:-11.9 | AL_Dst:-15.1 | LWk:26% | UWk:29%
06-03 Wed Hr:09 | SHT | L | VW:-8.5 | Vx:1.1 | PB:4.3 | Prc:1.5 | RN:4.0 | ADX:13 | EG:9.3 | hRSI:45 | ATR:3.3 | B:12 | SL:6.0 | SVR:3.5 | MAE:10.5 | MFE:2.1 | AH_Dst:-17.9 | AL_Dst:-9.1 | LWk:2% | UWk:0%
06-03 Wed Hr:10 | SHT | W | VW:-6.3 | Vx:0.8 | PB:3.8 | Prc:5.3 | RN:2.3 | ADX:14 | EG:8.8 | hRSI:51 | ATR:3.6 | B:45 | SL:8.2 | SVR:3.8 | MAE:8.1 | MFE:14.7 | AH_Dst:-16.2 | AL_Dst:-10.8 | LWk:34% | UWk:26%
06-08 Mon Hr:07 | SHT | W | VW:-6.3 | Vx:1.4 | PB:4.4 | Prc:3.3 | RN:22.4 | ADX:22 | EG:53.1 | hRSI:52 | ATR:4.2 | B:30 | SL:10.8 | SVR:5.7 | MAE:8.1 | MFE:17.3 | AH_Dst:-21.3 | AL_Dst:-7.6 | LWk:2% | UWk:5%
06-10 Wed Hr:07 | LNG | L | VW:9.4 | Vx:0.8 | PB:1.7 | Prc:1.8 | RN:9.3 | ADX:14 | EG:13.3 | hRSI:54 | ATR:3.0 | B:5 | SL:5.5 | SVR:3.6 | MAE:6.6 | MFE:0.9 | AH_Dst:-6.4 | AL_Dst:-11.0 | LWk:24% | UWk:26%
06-10 Wed Hr:09 | LNG | L | VW:8.2 | Vx:1.3 | PB:1.3 | Prc:3.9 | RN:9.4 | ADX:24 | EG:11.1 | hRSI:51 | ATR:3.2 | B:31 | SL:8.1 | SVR:3.7 | MAE:13.2 | MFE:9.1 | AH_Dst:-6.5 | AL_Dst:-10.9 | LWk:2% | UWk:17%
06-10 Wed Hr:12 | LNG | W | VW:6.3 | Vx:0.6 | PB:2.0 | Prc:4.9 | RN:9.7 | ADX:25 | EG:9.0 | hRSI:46 | ATR:3.7 | B:6 | SL:9.5 | SVR:3.6 | MAE:4.8 | MFE:16.1 | AH_Dst:-6.8 | AL_Dst:-10.6 | LWk:0% | UWk:4%
06-11 Thu Hr:08 | SHT | W | VW:1.9 | Vx:1.0 | PB:3.0 | Prc:1.6 | RN:24.8 | ADX:22 | EG:2.7 | hRSI:48 | ATR:3.0 | B:13 | SL:9.1 | SVR:5.6 | MAE:3.3 | MFE:14.2 | AH_Dst:-11.5 | AL_Dst:-0.1 | LWk:8% | UWk:0%
06-11 Thu Hr:12 | SHT | W | VW:-9.6 | Vx:1.1 | PB:1.4 | Prc:3.0 | RN:11.5 | ADX:15 | EG:13.2 | hRSI:46 | ATR:2.7 | B:4 | SL:6.1 | SVR:2.1 | MAE:4.0 | MFE:18.3 | AH_Dst:-25.2 | AL_Dst:13.6 | LWk:29% | UWk:4%
06-11 Thu Hr:13 | SHT | W | VW:-14.6 | Vx:1.2 | PB:5.2 | Prc:3.3 | RN:4.2 | ADX:18 | EG:16.7 | hRSI:46 | ATR:5.9 | B:5 | SL:9.4 | SVR:4.8 | MAE:5.4 | MFE:15.0 | AH_Dst:-32.5 | AL_Dst:20.9 | LWk:13% | UWk:21%
06-11 Thu Hr:13 | SHT | W | VW:-13.2 | Vx:0.7 | PB:4.3 | Prc:3.3 | RN:3.2 | ADX:17 | EG:19.6 | hRSI:41 | ATR:5.9 | B:3 | SL:6.7 | SVR:3.4 | MAE:3.8 | MFE:12.0 | AH_Dst:-33.5 | AL_Dst:21.9 | LWk:10% | UWk:31%
06-12 Fri Hr:08 | LNG | W | VW:3.5 | Vx:1.4 | PB:3.3 | Prc:1.5 | RN:8.6 | ADX:26 | EG:13.1 | hRSI:48 | ATR:4.8 | B:25 | SL:11.3 | SVR:5.6 | MAE:10.1 | MFE:17.2 | AH_Dst:-9.3 | AL_Dst:-14.1 | LWk:23% | UWk:0%
06-12 Fri Hr:10 | LNG | L | VW:9.8 | Vx:1.6 | PB:3.5 | Prc:8.9 | RN:17.5 | ADX:25 | EG:24.4 | hRSI:50 | ATR:4.3 | B:32 | SL:13.8 | SVR:3.7 | MAE:15.2 | MFE:1.0 | AH_Dst:-0.4 | AL_Dst:-23.0 | LWk:10% | UWk:0%
06-15 Mon Hr:14 | LNG | L | VW:0.5 | Vx:1.1 | PB:3.2 | Prc:1.8 | RN:12.4 | ADX:16 | EG:15.9 | hRSI:52 | ATR:3.4 | B:16 | SL:8.0 | SVR:3.0 | MAE:8.5 | MFE:6.9 | AH_Dst:-22.3 | AL_Dst:-2.7 | LWk:6% | UWk:6%
06-16 Tue Hr:13 | LNG | L | VW:8.4 | Vx:1.7 | PB:2.0 | Prc:2.5 | RN:18.9 | ADX:16 | EG:1.3 | hRSI:51 | ATR:2.8 | B:4 | SL:6.8 | SVR:3.8 | MAE:8.1 | MFE:0.2 | AH_Dst:12.6 | AL_Dst:-28.4 | LWk:11% | UWk:5%
06-16 Tue Hr:13 | SHT | L | VW:1.1 | Vx:1.0 | PB:2.6 | Prc:1.4 | RN:11.7 | ADX:15 | EG:1.0 | hRSI:51 | ATR:2.9 | B:8 | SL:6.0 | SVR:3.3 | MAE:6.4 | MFE:5.3 | AH_Dst:5.4 | AL_Dst:-21.2 | LWk:31% | UWk:7%
06-16 Tue Hr:13 | SHT | L | VW:1.1 | Vx:1.3 | PB:3.1 | Prc:3.6 | RN:11.8 | ADX:15 | EG:0.1 | hRSI:51 | ATR:3.3 | B:21 | SL:7.2 | SVR:3.6 | MAE:7.9 | MFE:8.8 | AH_Dst:5.5 | AL_Dst:-21.3 | LWk:2% | UWk:17%
06-16 Tue Hr:14 | LNG | W | VW:7.5 | Vx:1.4 | PB:4.4 | Prc:3.2 | RN:18.3 | ADX:14 | EG:1.1 | hRSI:49 | ATR:3.7 | B:22 | SL:9.5 | SVR:3.2 | MAE:3.1 | MFE:21.1 | AH_Dst:12.0 | AL_Dst:-27.8 | LWk:0% | UWk:31%
06-18 Thu Hr:07 | SHT | W | VW:-1.3 | Vx:1.7 | PB:2.6 | Prc:2.8 | RN:9.1 | ADX:23 | EG:57.4 | hRSI:49 | ATR:3.9 | B:8 | SL:8.9 | SVR:5.1 | MAE:7.6 | MFE:14.6 | AH_Dst:-15.6 | AL_Dst:-10.9 | LWk:10% | UWk:50%
