Date,Message
"====================================
Chart Info: FX:GBPUSD
Timeframe: 3 Minute(s)
Timezone: America/New_York
Start Date: 2026-05-10 17:00 (Actual)
End Date: Last Candle
Data Format: YYYYMMDD HHMM;Open;High;Low;Close;Volume
===================================="
20260525 0651;1.34913;1.34914;1.34903;1.34907;157
20260525 0654;1.34907;1.34908;1.34899;1.34906;189
20260525 0657;1.34906;1.34913;1.34901;1.34909;193
20260525 0700;1.34909;1.34912;1.34895;1.34898;216
20260525 0703;1.34898;1.34899;1.34894;1.34896;156
20260525 0706;1.34896;1.34897;1.34874;1.34876;197
20260525 0709;1.34876;1.349;1.34876;1.34897;299
20260525 0712;1.34897;1.34908;1.34892;1.34907;224
20260525 0715;1.34907;1.34924;1.34906;1.34922;181
20260525 0718;1.34922;1.34931;1.34922;1.34928;176
20260525 0721;1.34928;1.34941;1.34926;1.34937;123
20260525 0724;1.34937;1.34949;1.34937;1.34939;173
20260525 0727;1.34939;1.34953;1.34939;1.34951;232
20260525 0730;1.34951;1.34967;1.34951;1.34967;378
20260525 0733;1.34967;1.34994;1.34966;1.34977;436
20260525 0736;1.34977;1.35008;1.34974;1.34998;309
20260525 0739;1.34998;1.35036;1.34998;1.3503;440
20260525 0742;1.3503;1.35043;1.35026;1.35041;299
20260525 0745;1.35041;1.3506;1.35028;1.35029;403
20260525 0748;1.35029;1.3503;1.35013;1.35018;334
20260525 0751;1.35018;1.35031;1.35014;1.35026;390
20260525 0754;1.35026;1.35033;1.35009;1.35018;354
20260525 0757;1.35018;1.35018;1.34982;1.34983;471
20260525 0800;1.34983;1.34999;1.3497;1.34994;671
20260525 0803;1.34994;1.3501;1.34988;1.34989;418
20260525 0806;1.34989;1.35009;1.3498;1.35005;418
20260525 0809;1.35005;1.35009;1.34992;1.35003;334
20260525 0812;1.35003;1.35021;1.35;1.3501;344
20260525 0815;1.3501;1.3502;1.35005;1.35005;277
20260525 0818;1.35005;1.35019;1.34995;1.34995;334
20260525 0821;1.34995;1.3502;1.3499;1.35016;433
20260525 0824;1.35016;1.35021;1.34997;1.34998;620
20260525 0827;1.34998;1.35009;1.34996;1.34998;262
20260525 0830;1.34998;1.35047;1.34997;1.35046;482
20260525 0833;1.35046;1.35059;1.35037;1.3505;372
20260525 0836;1.3505;1.3505;1.3503;1.3503;378
20260525 0839;1.3503;1.3504;1.35027;1.35036;284
20260525 0842;1.35036;1.35051;1.35035;1.3505;351
20260525 0845;1.3505;1.35067;1.35027;1.35048;794
20260525 0848;1.35048;1.35054;1.3502;1.35021;431
20260525 0851;1.35021;1.35028;1.35006;1.35011;308
20260525 0854;1.35011;1.35019;1.35008;1.35018;398
20260525 0857;1.35018;1.3502;1.35002;1.35007;358
20260525 0900;1.35007;1.35017;1.34996;1.35014;494
20260525 0903;1.35014;1.35028;1.35012;1.3502;355
20260525 0906;1.3502;1.35031;1.35016;1.35027;247
20260525 0909;1.35027;1.35029;1.34993;1.34994;365
20260525 0912;1.34994;1.34997;1.34984;1.34994;328
20260525 0915;1.34994;1.34994;1.34981;1.34988;424
20260525 0918;1.34988;1.35004;1.34986;1.35004;298
20260525 0921;1.35004;1.35017;1.34997;1.35008;255
20260525 0924;1.35008;1.35022;1.35002;1.35019;287
20260525 0927;1.35019;1.35021;1.35006;1.35015;248
20260525 0930;1.35015;1.35037;1.35014;1.35027;225
20260525 0933;1.35027;1.35039;1.35025;1.35027;318
20260525 0936;1.35027;1.35028;1.35013;1.35014;333
20260525 0939;1.35014;1.35027;1.35003;1.35009;305
20260525 0942;1.35009;1.35009;1.34988;1.34989;533
20260525 0945;1.34989;1.34991;1.34965;1.3497;409
20260525 0948;1.3497;1.3499;1.3497;1.34979;269
20260525 0951;1.34979;1.35004;1.34978;1.34987;476
20260525 0954;1.34987;1.34987;1.34969;1.3497;224
20260525 0957;1.3497;1.3497;1.34938;1.34939;416
20260525 1000;1.34939;1.34961;1.34927;1.34952;575
20260525 1003;1.34952;1.34976;1.34949;1.34961;345
20260525 1006;1.34961;1.34965;1.34948;1.3495;230
20260525 1009;1.3495;1.34959;1.34944;1.34946;231
20260525 1012;1.34946;1.34949;1.34926;1.3494;241
20260525 1015;1.3494;1.34953;1.3494;1.34947;237
20260525 1018;1.34947;1.34969;1.34943;1.34963;313
20260525 1021;1.34963;1.34978;1.3496;1.34978;222
20260525 1024;1.34978;1.3498;1.3497;1.34976;242
20260525 1027;1.34976;1.34979;1.34967;1.34967;238
20260525 1030;1.34967;1.34967;1.34947;1.3495;220
20260525 1033;1.3495;1.34967;1.34946;1.34961;251
20260525 1036;1.34961;1.34971;1.34961;1.34968;202
20260525 1039;1.34968;1.35008;1.34964;1.35008;374
20260525 1042;1.35008;1.35011;1.34991;1.35006;338
20260525 1045;1.35006;1.35016;1.34992;1.35001;323
20260525 1048;1.35001;1.35017;1.34994;1.34996;331
20260525 1051;1.34996;1.35;1.34989;1.34997;217
20260525 1054;1.34997;1.35018;1.34974;1.35009;498
20260525 1057;1.35009;1.35019;1.34995;1.35007;800
20260525 1100;1.35007;1.35007;1.34972;1.34982;942
20260525 1103;1.34982;1.34986;1.34971;1.34981;644
20260525 1106;1.34981;1.34992;1.34972;1.34979;451
20260525 1109;1.34979;1.35051;1.34956;1.35027;1378
20260525 1112;1.35027;1.35037;1.34996;1.34998;981
20260525 1115;1.34998;1.35006;1.34986;1.35;636
20260525 1118;1.35;1.3503;1.34999;1.35025;243
20260525 1121;1.35025;1.35029;1.35009;1.35028;259
20260525 1124;1.35028;1.35035;1.35013;1.35032;427
20260525 1127;1.35032;1.35037;1.35014;1.35026;312
20260525 1130;1.35026;1.35027;1.35009;1.35018;193
20260525 1133;1.35018;1.35039;1.35016;1.35033;208
20260525 1136;1.35033;1.35035;1.35025;1.35031;188
20260525 1139;1.35031;1.35039;1.35023;1.35023;173
20260525 1142;1.35023;1.35049;1.35023;1.35048;161
20260525 1145;1.35048;1.35052;1.35039;1.35046;178
20260525 1148;1.35046;1.35048;1.35018;1.35028;159
20260525 1151;1.35028;1.35033;1.35022;1.35022;90
20260525 1154;1.35022;1.3505;1.35021;1.35049;117
20260525 1157;1.35049;1.3505;1.35017;1.35019;251
20260525 1200;1.35019;1.35021;1.34999;1.35018;176
20260525 1203;1.35018;1.35022;1.34995;1.34996;140
20260525 1206;1.34996;1.35009;1.34996;1.35006;84
20260525 1209;1.35006;1.35006;1.34995;1.35001;137
20260525 1212;1.35001;1.35011;1.34995;1.35011;208
20260525 1215;1.35011;1.35011;1.35008;1.3501;92
20260525 1218;1.3501;1.35011;1.34999;1.34999;78
20260525 1221;1.34999;1.35017;1.34997;1.34999;177
20260525 1224;1.34999;1.35016;1.34999;1.35007;150
20260525 1227;1.35007;1.35011;1.34999;1.35001;103
20260525 1230;1.35001;1.35011;1.34998;1.35006;233
20260525 1233;1.35006;1.3501;1.34996;1.35007;631
20260525 1236;1.35007;1.35016;1.35002;1.3501;317
20260525 1239;1.3501;1.3501;1.34994;1.35001;280
20260525 1242;1.35001;1.35012;1.34997;1.3501;221
20260525 1245;1.3501;1.35018;1.35007;1.35017;154
20260525 1248;1.35017;1.3503;1.35016;1.35027;235
20260525 1251;1.35027;1.35034;1.35011;1.35017;313
20260525 1254;1.35017;1.35038;1.35013;1.35036;328
20260525 1257;1.35036;1.35048;1.35035;1.35038;167
20260525 1300;1.35038;1.35039;1.35036;1.35036;88
20260525 1303;1.35036;1.35044;1.35035;1.35037;58
20260525 1306;1.35037;1.35038;1.35032;1.35037;76
20260525 1309;1.35037;1.3504;1.35035;1.3504;42
20260525 1312;1.3504;1.35052;1.3504;1.35042;81
20260525 1315;1.35042;1.35059;1.35042;1.35057;72
20260525 1318;1.35057;1.35059;1.35054;1.35057;55
20260525 1321;1.35057;1.35057;1.35049;1.35051;78
20260525 1324;1.35051;1.3506;1.35051;1.35058;114
20260525 1327;1.35058;1.35066;1.35054;1.35064;113
20260525 1330;1.35064;1.35068;1.35063;1.35067;80
20260525 1333;1.35067;1.35067;1.3506;1.3506;71
20260525 1336;1.3506;1.35064;1.35057;1.3506;139
20260525 1339;1.3506;1.35068;1.3506;1.35066;76
20260525 1342;1.35066;1.35074;1.35066;1.35068;101
20260525 1345;1.35068;1.35069;1.35046;1.35048;105
20260525 1348;1.35048;1.35052;1.3504;1.35049;181
20260525 1351;1.35049;1.35058;1.35046;1.35056;82
20260525 1354;1.35056;1.35061;1.35052;1.35052;176
20260525 1357;1.35052;1.35056;1.35049;1.35056;88
20260525 1400;1.35056;1.35061;1.35047;1.35047;115
20260525 1403;1.35047;1.35051;1.35047;1.35049;70
20260525 1406;1.35049;1.35064;1.35049;1.35064;210
20260525 1409;1.35064;1.35069;1.35061;1.35066;204
20260525 1412;1.35066;1.35069;1.35063;1.35064;102
20260525 1415;1.35064;1.35066;1.35058;1.35059;136
20260525 1418;1.35059;1.3506;1.35057;1.35058;51
20260525 1421;1.35058;1.35059;1.35049;1.35055;107
20260525 1424;1.35055;1.35059;1.35053;1.35056;161
20260525 1427;1.35056;1.35059;1.35052;1.35053;99
20260525 1430;1.35053;1.35059;1.35052;1.35055;208
20260525 1433;1.35055;1.3506;1.35053;1.35059;129
20260525 1436;1.35059;1.35068;1.35058;1.35066;64
20260525 1439;1.35066;1.35071;1.35056;1.35058;100
20260525 1442;1.35058;1.35058;1.3505;1.35056;100
20260525 1445;1.35056;1.35062;1.35054;1.35061;69
20260525 1448;1.35061;1.35069;1.3506;1.35065;125
20260525 1451;1.35065;1.35066;1.35061;1.35062;64
20260525 1454;1.35062;1.35069;1.35061;1.35069;60
20260525 1457;1.35069;1.35071;1.35066;1.35068;82
20260525 1500;1.35068;1.3507;1.35064;1.35066;76
20260525 1503;1.35066;1.3507;1.35064;1.35067;82
20260525 1506;1.35067;1.3507;1.35063;1.35067;89
20260525 1509;1.35067;1.35067;1.35061;1.35064;119
20260525 1512;1.35064;1.35064;1.35056;1.35059;51
20260525 1515;1.35059;1.35062;1.35055;1.35059;54
20260525 1518;1.35059;1.35064;1.35056;1.35059;59
20260525 1521;1.35059;1.35067;1.35059;1.35067;75
20260525 1524;1.35067;1.35069;1.35064;1.35069;45
20260525 1527;1.35069;1.35071;1.35065;1.35066;79
20260525 1530;1.35066;1.35068;1.3506;1.35062;53
20260525 1533;1.35062;1.35063;1.35055;1.35062;118
20260525 1536;1.35062;1.35091;1.35061;1.35085;103
20260525 1539;1.35085;1.35088;1.35079;1.35083;112
20260525 1542;1.35083;1.35085;1.3508;1.35082;137
20260525 1545;1.35082;1.35083;1.35074;1.35077;134
20260525 1548;1.35077;1.35078;1.35068;1.35077;92
20260525 1551;1.35077;1.35077;1.3507;1.35072;113
20260525 1554;1.35072;1.35088;1.35069;1.35079;179
20260525 1557;1.35079;1.35083;1.35076;1.35078;85
20260525 1600;1.35078;1.35083;1.35076;1.35079;137
20260525 1603;1.35079;1.35083;1.35075;1.35078;134
20260525 1606;1.35078;1.35081;1.35076;1.35079;48
20260525 1609;1.35079;1.35081;1.35078;1.35081;68
20260525 1612;1.35081;1.35082;1.35079;1.35081;76
20260525 1615;1.35081;1.35084;1.35078;1.35079;156
20260525 1618;1.35079;1.3508;1.35074;1.35077;107
20260525 1621;1.35077;1.35078;1.35067;1.35069;84
20260525 1624;1.35069;1.35071;1.35066;1.3507;96
20260525 1627;1.3507;1.35081;1.35069;1.35081;70
20260525 1630;1.35081;1.35085;1.3508;1.35081;57
20260525 1633;1.35081;1.35082;1.35071;1.35073;119
20260525 1636;1.35073;1.35076;1.3507;1.35071;103
20260525 1639;1.35071;1.35071;1.35056;1.35065;199
20260525 1642;1.35065;1.3507;1.35059;1.35069;193
20260525 1645;1.35069;1.3508;1.35067;1.35077;225
20260525 1648;1.35077;1.3508;1.35072;1.3508;220
20260525 1651;1.3508;1.3508;1.35066;1.35068;70
20260525 1654;1.35068;1.35074;1.35067;1.35068;94
20260525 1657;1.35068;1.35069;1.35032;1.35034;114
20260525 1703;1.35034;1.35034;1.34883;1.3499;70
20260525 1706;1.3499;1.35034;1.3499;1.35003;42
20260525 1709;1.35003;1.35005;1.34998;1.35004;38
20260525 1712;1.35004;1.3505;1.34915;1.34959;114
20260525 1715;1.34959;1.34959;1.34958;1.34958;23
20260525 1718;1.34958;1.34962;1.34934;1.34951;148
20260525 1721;1.34951;1.34954;1.34927;1.34928;75
20260525 1724;1.34928;1.34957;1.34928;1.34952;42
20260525 1727;1.34952;1.34966;1.34947;1.34959;23
20260525 1730;1.34959;1.34967;1.34939;1.34964;74
20260525 1733;1.34964;1.34995;1.34931;1.34992;155
20260525 1736;1.34992;1.3502;1.34965;1.34983;172
20260525 1739;1.34983;1.34983;1.34978;1.34978;718
20260525 1742;1.34978;1.35002;1.34961;1.34962;140
20260525 1745;1.34962;1.34989;1.34955;1.34968;124
20260525 1748;1.34968;1.34977;1.34938;1.34944;188
20260525 1751;1.34944;1.34949;1.34944;1.34944;80
20260525 1754;1.34944;1.35002;1.34944;1.35001;101
20260525 1757;1.35001;1.35004;1.35;1.35002;116
20260525 1800;1.35002;1.35029;1.34999;1.3502;149
20260525 1803;1.3502;1.3502;1.35002;1.35011;59
20260525 1806;1.35011;1.35029;1.3501;1.35026;90
20260525 1809;1.35026;1.35053;1.35025;1.35046;111
20260525 1812;1.35046;1.35047;1.35034;1.35039;59
20260525 1815;1.35039;1.35039;1.35026;1.35027;43
20260525 1818;1.35027;1.35028;1.35023;1.35027;37
20260525 1821;1.35027;1.35038;1.35027;1.35034;77
20260525 1824;1.35034;1.35038;1.35034;1.35034;23
20260525 1827;1.35034;1.35037;1.3503;1.35032;50
20260525 1830;1.35032;1.35034;1.35022;1.35029;93
20260525 1833;1.35029;1.3503;1.35027;1.35029;25
20260525 1836;1.35029;1.35035;1.35024;1.35033;64
20260525 1839;1.35033;1.35047;1.35033;1.35045;35
20260525 1842;1.35045;1.35047;1.35044;1.35046;51
20260525 1845;1.35046;1.35049;1.35043;1.35049;18
20260525 1848;1.35049;1.3505;1.35045;1.35046;16
20260525 1851;1.35046;1.35049;1.35043;1.35043;20
20260525 1854;1.35043;1.35046;1.35034;1.35037;66
20260525 1857;1.35037;1.35039;1.35028;1.35028;49
20260525 1900;1.35028;1.35051;1.35028;1.35051;197
20260525 1903;1.35051;1.35051;1.35048;1.35049;56
20260525 1906;1.35049;1.3505;1.35039;1.35043;59
20260525 1909;1.35043;1.35047;1.35028;1.35036;106
20260525 1912;1.35036;1.35037;1.35032;1.35034;43
20260525 1915;1.35034;1.35037;1.35033;1.35036;42
20260525 1918;1.35036;1.3504;1.35032;1.35037;75
20260525 1921;1.35037;1.35039;1.35036;1.35038;42
20260525 1924;1.35038;1.35038;1.35011;1.35017;163
20260525 1927;1.35017;1.35017;1.35002;1.35007;126
20260525 1930;1.35007;1.35008;1.34997;1.34997;85
20260525 1933;1.34997;1.34999;1.3499;1.34996;118
20260525 1936;1.34996;1.35001;1.34992;1.34997;164
20260525 1939;1.34997;1.34999;1.34994;1.34997;105
20260525 1942;1.34997;1.35;1.34977;1.34982;118
20260525 1945;1.34982;1.35022;1.34981;1.35009;257
20260525 1948;1.35009;1.35009;1.34967;1.3497;275
20260525 1951;1.3497;1.34972;1.34956;1.34968;321
20260525 1954;1.34968;1.3498;1.34967;1.34971;169
20260525 1957;1.34971;1.34972;1.34956;1.34958;218
20260525 2000;1.34958;1.34961;1.34928;1.34932;972
20260525 2003;1.34932;1.34969;1.34932;1.3495;640
20260525 2006;1.3495;1.34961;1.34946;1.34953;542
20260525 2009;1.34953;1.34953;1.3493;1.3495;360
20260525 2012;1.3495;1.34959;1.34927;1.3493;490
20260525 2015;1.3493;1.34942;1.34915;1.34917;311
20260525 2018;1.34917;1.34917;1.34885;1.3489;365
20260525 2021;1.3489;1.34901;1.3488;1.34899;468
20260525 2024;1.34899;1.34911;1.34897;1.34907;402
20260525 2027;1.34907;1.34926;1.34907;1.34924;374
20260525 2030;1.34924;1.34938;1.34917;1.34918;299
20260525 2033;1.34918;1.34931;1.3491;1.3493;394
20260525 2036;1.3493;1.34933;1.34909;1.34909;184
20260525 2039;1.34909;1.34924;1.34907;1.3491;313
20260525 2042;1.3491;1.34926;1.34909;1.34915;232
20260525 2045;1.34915;1.34935;1.34903;1.34926;324
20260525 2048;1.34926;1.34928;1.34922;1.34926;237
20260525 2051;1.34926;1.34934;1.34923;1.34926;189
20260525 2054;1.34926;1.34947;1.34921;1.34946;351
20260525 2057;1.34946;1.34951;1.34937;1.34942;247
20260525 2100;1.34942;1.34948;1.34929;1.34941;576
20260525 2103;1.34941;1.34941;1.34913;1.34917;486
20260525 2106;1.34917;1.34918;1.34888;1.34903;584
20260525 2109;1.34903;1.34916;1.34901;1.34905;340
20260525 2112;1.34905;1.3494;1.34905;1.34934;458
20260525 2115;1.34934;1.34938;1.34925;1.34932;314
20260525 2118;1.34932;1.34937;1.34915;1.34916;409
20260525 2121;1.34916;1.3493;1.349;1.34919;478
20260525 2124;1.34919;1.34925;1.34898;1.349;308
20260525 2127;1.349;1.34911;1.34897;1.34905;304
20260525 2130;1.34905;1.34909;1.3489;1.3489;578
20260525 2133;1.3489;1.34896;1.34884;1.34886;261
20260525 2136;1.34886;1.34888;1.34853;1.34862;416
20260525 2139;1.34862;1.34868;1.34825;1.34828;550
20260525 2142;1.34828;1.34849;1.34825;1.34842;408
20260525 2145;1.34842;1.34851;1.34838;1.34849;340
20260525 2148;1.34849;1.34858;1.34838;1.34856;304
20260525 2151;1.34856;1.34865;1.34848;1.34861;286
20260525 2154;1.34861;1.34875;1.34861;1.34868;237
20260525 2157;1.34868;1.34871;1.34861;1.34868;197
20260525 2200;1.34868;1.34876;1.34863;1.34876;198
20260525 2203;1.34876;1.34884;1.34866;1.34882;264
20260525 2206;1.34882;1.34891;1.34881;1.34886;147
20260525 2209;1.34886;1.34899;1.34885;1.34886;238
20260525 2212;1.34886;1.34886;1.34863;1.34866;244
20260525 2215;1.34866;1.34878;1.34864;1.34877;232
20260525 2218;1.34877;1.34877;1.34865;1.34866;223
20260525 2221;1.34866;1.34878;1.34859;1.34871;391
20260525 2224;1.34871;1.34876;1.34864;1.34876;245
20260525 2227;1.34876;1.34883;1.34867;1.34868;226
20260525 2230;1.34868;1.34878;1.34866;1.34874;176
20260525 2233;1.34874;1.34877;1.34867;1.34868;251
20260525 2236;1.34868;1.34878;1.34862;1.34877;277
20260525 2239;1.34877;1.34877;1.34857;1.3486;271
20260525 2242;1.3486;1.3486;1.34842;1.34845;255
20260525 2245;1.34845;1.34859;1.34831;1.34858;316
20260525 2248;1.34858;1.3486;1.34847;1.34859;176
20260525 2251;1.34859;1.34864;1.34847;1.34856;187
20260525 2254;1.34856;1.34862;1.34849;1.34856;273
20260525 2257;1.34856;1.34877;1.34855;1.3487;240
20260525 2300;1.3487;1.34881;1.34867;1.3487;185
20260525 2303;1.3487;1.3488;1.34862;1.34876;141
20260525 2306;1.34876;1.34882;1.34875;1.34878;185
20260525 2309;1.34878;1.34887;1.34871;1.34886;137
20260525 2312;1.34886;1.34895;1.3488;1.34881;184
20260525 2315;1.34881;1.34887;1.34878;1.34885;162
20260525 2318;1.34885;1.34906;1.34885;1.34905;249
20260525 2321;1.34905;1.34908;1.34899;1.34902;126
20260525 2324;1.34902;1.34921;1.34902;1.34908;290
20260525 2327;1.34908;1.34908;1.34887;1.34887;231
20260525 2330;1.34887;1.3489;1.34883;1.34886;186
20260525 2333;1.34886;1.34889;1.34885;1.34887;98
20260525 2336;1.34887;1.34897;1.34884;1.3489;174
20260525 2339;1.3489;1.3489;1.34876;1.34878;126
20260525 2342;1.34878;1.34889;1.34876;1.34882;194
20260525 2345;1.34882;1.34887;1.34878;1.34879;301
20260525 2348;1.34879;1.34883;1.34875;1.34878;116
20260525 2351;1.34878;1.34879;1.34867;1.34875;166
20260525 2354;1.34875;1.34877;1.34869;1.34875;110
20260525 2357;1.34875;1.34886;1.34874;1.34884;174
20260526 0000;1.34884;1.34887;1.3488;1.34884;89
20260526 0003;1.34884;1.34884;1.34849;1.34856;225
20260526 0006;1.34856;1.34868;1.34852;1.34865;164
20260526 0009;1.34865;1.34877;1.34865;1.34875;172
20260526 0012;1.34875;1.34887;1.34868;1.34887;176
20260526 0015;1.34887;1.34887;1.34866;1.34875;145
20260526 0018;1.34875;1.34875;1.34866;1.34866;168
20260526 0021;1.34866;1.34871;1.3486;1.34864;142
20260526 0024;1.34864;1.34865;1.34853;1.34857;100
20260526 0027;1.34857;1.34858;1.34852;1.34852;126
20260526 0030;1.34852;1.34865;1.34845;1.34865;139
20260526 0033;1.34865;1.34866;1.34857;1.3486;146
20260526 0036;1.3486;1.3486;1.34845;1.34848;146
20260526 0039;1.34848;1.34851;1.34844;1.34849;117
20260526 0042;1.34849;1.3485;1.3484;1.34845;218
20260526 0045;1.34845;1.34846;1.34833;1.34836;249
20260526 0048;1.34836;1.34844;1.34834;1.3484;160
20260526 0051;1.3484;1.3484;1.34822;1.3483;177
20260526 0054;1.3483;1.34838;1.34818;1.3482;147
20260526 0057;1.3482;1.34825;1.34806;1.34808;342
20260526 0100;1.34808;1.34817;1.34797;1.34809;385
20260526 0103;1.34809;1.34809;1.34786;1.34791;261
20260526 0106;1.34791;1.34805;1.34783;1.34801;329
20260526 0109;1.34801;1.34811;1.34788;1.34789;303
20260526 0112;1.34789;1.34791;1.3478;1.34786;179
20260526 0115;1.34786;1.34793;1.3478;1.34787;179
20260526 0118;1.34787;1.3479;1.34776;1.3478;211
20260526 0121;1.3478;1.34782;1.34775;1.34778;169
20260526 0124;1.34778;1.34779;1.34774;1.34779;211
20260526 0127;1.34779;1.34787;1.34777;1.34784;339
20260526 0130;1.34784;1.34799;1.3478;1.34788;494
20260526 0133;1.34788;1.34789;1.34777;1.34783;356
20260526 0136;1.34783;1.34791;1.34776;1.34787;229
20260526 0139;1.34787;1.34789;1.34766;1.34772;229
20260526 0142;1.34772;1.34779;1.3477;1.34777;158
20260526 0145;1.34777;1.34779;1.34758;1.3476;197
20260526 0148;1.3476;1.34771;1.34758;1.34761;193
20260526 0151;1.34761;1.34762;1.34757;1.34757;150
20260526 0154;1.34757;1.3476;1.34743;1.34748;207
20260526 0157;1.34748;1.34759;1.34747;1.3475;258
20260526 0200;1.3475;1.34752;1.34736;1.34747;660
20260526 0203;1.34747;1.34757;1.34739;1.34748;394
20260526 0206;1.34748;1.3476;1.34739;1.34757;299
20260526 0209;1.34757;1.34768;1.34751;1.34764;243
20260526 0212;1.34764;1.34767;1.34755;1.34765;160
20260526 0215;1.34765;1.34768;1.34756;1.34767;331
20260526 0218;1.34767;1.34785;1.34767;1.3478;360
20260526 0221;1.3478;1.34788;1.34778;1.34787;299
20260526 0224;1.34787;1.3485;1.34787;1.34848;534
20260526 0227;1.34848;1.34849;1.34797;1.348;924
20260526 0230;1.348;1.34808;1.34751;1.34758;732
20260526 0233;1.34758;1.34783;1.34758;1.34775;554
20260526 0236;1.34775;1.34805;1.34775;1.34787;404
20260526 0239;1.34787;1.34799;1.34774;1.34777;419
20260526 0242;1.34777;1.34792;1.34759;1.34791;436
20260526 0245;1.34791;1.34798;1.34768;1.3477;485
20260526 0248;1.3477;1.34799;1.34769;1.34794;346
20260526 0251;1.34794;1.34801;1.34788;1.34788;399
20260526 0254;1.34788;1.34789;1.34777;1.34781;542
20260526 0257;1.34781;1.34784;1.34762;1.34775;615
20260526 0300;1.34775;1.34782;1.34764;1.34774;723
20260526 0303;1.34774;1.34778;1.34647;1.34654;1094
20260526 0306;1.34654;1.34742;1.34647;1.34716;1269
20260526 0309;1.34716;1.34728;1.34687;1.34709;817
20260526 0312;1.34709;1.34741;1.34693;1.34736;725
20260526 0315;1.34736;1.34737;1.34689;1.34709;620
20260526 0318;1.34709;1.34731;1.34705;1.34727;566
20260526 0321;1.34727;1.34739;1.34696;1.34699;445
20260526 0324;1.34699;1.34708;1.34676;1.34694;504
20260526 0327;1.34694;1.34716;1.34683;1.34708;451
20260526 0330;1.34708;1.34771;1.34691;1.34718;1143
20260526 0333;1.34718;1.34735;1.3468;1.34718;954
20260526 0336;1.34718;1.34721;1.34693;1.34711;803
20260526 0339;1.34711;1.34721;1.34702;1.34711;706
20260526 0342;1.34711;1.34721;1.34697;1.34706;598
20260526 0345;1.34706;1.34707;1.34677;1.34687;659
20260526 0348;1.34687;1.34745;1.34687;1.34735;601
20260526 0351;1.34735;1.34738;1.34709;1.34719;602
20260526 0354;1.34719;1.3474;1.34708;1.34726;689
20260526 0357;1.34726;1.34755;1.34726;1.34748;788
20260526 0400;1.34748;1.34758;1.34715;1.34751;1350
20260526 0403;1.34751;1.34769;1.34745;1.3476;706
20260526 0406;1.3476;1.34771;1.34752;1.3476;596
20260526 0409;1.3476;1.34804;1.34759;1.34796;430
20260526 0412;1.34796;1.34809;1.34753;1.34759;502
20260526 0415;1.34759;1.34769;1.34757;1.34759;381
20260526 0418;1.34759;1.34779;1.34759;1.34769;425
20260526 0421;1.34769;1.34792;1.34768;1.34785;372
20260526 0424;1.34785;1.34789;1.3475;1.34758;307
20260526 0427;1.34758;1.34761;1.34735;1.34757;677
20260526 0430;1.34757;1.3478;1.34749;1.34776;504
20260526 0433;1.34776;1.34781;1.34741;1.34761;499
20260526 0436;1.34761;1.34772;1.3475;1.34758;383
20260526 0439;1.34758;1.34762;1.34741;1.34749;417
20260526 0442;1.34749;1.34752;1.34721;1.34727;459
20260526 0445;1.34727;1.34738;1.3472;1.34732;278
20260526 0448;1.34732;1.34761;1.34726;1.34761;342
20260526 0451;1.34761;1.34792;1.3476;1.34788;387
20260526 0454;1.34788;1.3479;1.34755;1.34758;296
20260526 0457;1.34758;1.34768;1.3474;1.34749;621
20260526 0500;1.34749;1.34752;1.34724;1.3474;696
20260526 0503;1.3474;1.34753;1.34724;1.34752;458
20260526 0506;1.34752;1.34781;1.34751;1.34776;513
20260526 0509;1.34776;1.34781;1.34767;1.3477;255
20260526 0512;1.3477;1.34786;1.34767;1.34777;308
20260526 0515;1.34777;1.34812;1.3475;1.3479;556
20260526 0518;1.3479;1.34811;1.34778;1.348;483
20260526 0521;1.348;1.34808;1.34766;1.34783;488
20260526 0524;1.34783;1.3479;1.34766;1.34783;408
20260526 0527;1.34783;1.3482;1.34781;1.34817;328
20260526 0530;1.34817;1.34831;1.34804;1.34818;529
20260526 0533;1.34818;1.34831;1.34814;1.34815;409
20260526 0536;1.34815;1.34821;1.34799;1.348;296
20260526 0539;1.348;1.3482;1.34787;1.34798;321
20260526 0542;1.34798;1.34802;1.34785;1.34788;268
20260526 0545;1.34788;1.34811;1.34786;1.34808;225
20260526 0548;1.34808;1.34818;1.34799;1.348;341
20260526 0551;1.348;1.34802;1.34792;1.34794;288
20260526 0554;1.34794;1.34847;1.3479;1.34847;447
20260526 0557;1.34847;1.34847;1.34828;1.34837;649
20260526 0600;1.34837;1.34839;1.34799;1.34808;556
20260526 0603;1.34808;1.34817;1.34778;1.34789;389
20260526 0606;1.34789;1.34819;1.34784;1.34804;339
20260526 0609;1.34804;1.34818;1.34802;1.34812;326
20260526 0612;1.34812;1.34822;1.34809;1.34813;286
20260526 0615;1.34813;1.34823;1.34803;1.34809;330
20260526 0618;1.34809;1.34823;1.34801;1.34802;259
20260526 0621;1.34802;1.34814;1.34792;1.34812;308
20260526 0624;1.34812;1.34818;1.348;1.34808;314
20260526 0627;1.34808;1.3484;1.34804;1.3483;701
20260526 0630;1.3483;1.34862;1.34821;1.34832;1024
20260526 0633;1.34832;1.34864;1.34831;1.3484;552
20260526 0636;1.3484;1.34843;1.34818;1.34818;432
20260526 0639;1.34818;1.34836;1.3481;1.34816;518
20260526 0642;1.34816;1.34828;1.34804;1.34826;503
20260526 0645;1.34826;1.34838;1.34818;1.34826;362
