Date,Message
"====================================
Chart Info: FX:GBPUSD
Timeframe: 3 Minute(s)
Timezone: America/New_York
Start Date: 2026-05-10 17:00 (Actual)
End Date: Last Candle
Data Format: YYYYMMDD HHMM;Open;High;Low;Close;Volume
===================================="
20260510 2218;1.35953;1.35954;1.35941;1.35949;302
20260510 2221;1.35949;1.35953;1.35945;1.3595;163
20260510 2224;1.3595;1.35954;1.35946;1.35949;163
20260510 2227;1.35949;1.35974;1.35949;1.3597;261
20260510 2230;1.3597;1.35982;1.35966;1.35968;457
20260510 2233;1.35968;1.35978;1.35966;1.35968;329
20260510 2236;1.35968;1.35969;1.35954;1.35965;252
20260510 2239;1.35965;1.35968;1.3595;1.35953;178
20260510 2242;1.35953;1.35958;1.35929;1.35932;396
20260510 2245;1.35932;1.3594;1.35929;1.35929;262
20260510 2248;1.35929;1.35941;1.35921;1.35929;265
20260510 2251;1.35929;1.35948;1.35929;1.35939;289
20260510 2254;1.35939;1.35946;1.35919;1.35925;297
20260510 2257;1.35925;1.35929;1.35901;1.35904;355
20260510 2300;1.35904;1.35904;1.35884;1.35895;721
20260510 2303;1.35895;1.35911;1.35892;1.35909;303
20260510 2306;1.35909;1.35917;1.35902;1.35917;236
20260510 2309;1.35917;1.35921;1.35907;1.35918;482
20260510 2312;1.35918;1.35922;1.35909;1.3592;381
20260510 2315;1.3592;1.35925;1.35902;1.35908;402
20260510 2318;1.35908;1.35919;1.35904;1.35914;424
20260510 2321;1.35914;1.35914;1.35902;1.35904;417
20260510 2324;1.35904;1.3592;1.35903;1.35919;301
20260510 2327;1.35919;1.35922;1.35909;1.35914;298
20260510 2330;1.35914;1.35918;1.35905;1.35917;420
20260510 2333;1.35917;1.35918;1.35906;1.35907;193
20260510 2336;1.35907;1.3591;1.35906;1.35909;222
20260510 2339;1.35909;1.35923;1.35906;1.3592;231
20260510 2342;1.3592;1.35932;1.35919;1.35928;183
20260510 2345;1.35928;1.35937;1.35921;1.35936;217
20260510 2348;1.35936;1.35937;1.35897;1.35899;312
20260510 2351;1.35899;1.35913;1.35899;1.35908;186
20260510 2354;1.35908;1.3592;1.35897;1.35907;324
20260510 2357;1.35907;1.35907;1.35889;1.35892;275
20260511 0000;1.35892;1.35901;1.3589;1.35894;293
