20260605 1215;1.33454;1.33457;1.33423;1.33438;859
20260605 1218;1.33438;1.3345;1.33419;1.33425;734
20260605 1221;1.33425;1.33448;1.33425;1.3343;729
20260605 1224;1.3343;1.33506;1.33416;1.33496;832
20260605 1227;1.33496;1.33509;1.33475;1.33478;809
20260605 1230;1.33478;1.33491;1.3345;1.33455;768
20260605 1233;1.33455;1.33466;1.33442;1.33448;627
20260605 1236;1.33448;1.33457;1.33429;1.33457;652
20260605 1239;1.33457;1.3346;1.33413;1.33424;493
20260605 1242;1.33424;1.33429;1.33408;1.33427;579
20260605 1245;1.33427;1.33456;1.33419;1.3345;783
20260605 1248;1.3345;1.3347;1.33446;1.33469;921
20260605 1251;1.33469;1.33509;1.33469;1.33506;706
20260605 1254;1.33506;1.33522;1.33497;1.33509;702
20260605 1257;1.33509;1.33562;1.33509;1.33557;868
20260605 1300;1.33557;1.33568;1.33537;1.33537;882
20260605 1303;1.33537;1.33563;1.33517;1.33558;849
20260605 1306;1.33558;1.33559;1.33522;1.33524;496
20260605 1309;1.33524;1.33546;1.33509;1.33515;524
20260605 1312;1.33515;1.33537;1.33505;1.3353;520
20260605 1315;1.3353;1.33537;1.33504;1.33514;529
20260605 1318;1.33514;1.33519;1.33505;1.33519;505
20260605 1321;1.33519;1.3354;1.33509;1.33515;464
20260605 1324;1.33515;1.33535;1.33509;1.33517;595
20260605 1327;1.33517;1.33518;1.3349;1.33499;532
20260605 1330;1.33499;1.335;1.33467;1.33469;562
20260605 1333;1.33469;1.33476;1.33456;1.33465;536
20260605 1336;1.33465;1.33482;1.33457;1.33476;515
20260605 1339;1.33476;1.33491;1.33446;1.33449;681
20260605 1342;1.33449;1.3345;1.33413;1.33419;824
20260605 1345;1.33419;1.3343;1.33396;1.33397;654
20260605 1348;1.33397;1.334;1.33372;1.33391;705
20260605 1351;1.33391;1.334;1.33371;1.33392;780
20260605 1354;1.33392;1.3341;1.33388;1.33402;658
20260605 1357;1.33402;1.33425;1.33397;1.33416;800
20260605 1400;1.33416;1.33426;1.33378;1.33386;653
20260605 1403;1.33386;1.33389;1.33342;1.33346;768
20260605 1406;1.33346;1.3335;1.33339;1.33346;473
20260605 1409;1.33346;1.33369;1.33342;1.33349;613
20260605 1412;1.33349;1.33372;1.33346;1.33359;554
20260605 1415;1.33359;1.33391;1.33349;1.3338;628
20260605 1418;1.3338;1.33425;1.3337;1.33425;827
20260605 1421;1.33425;1.3343;1.33397;1.33407;730
20260605 1424;1.33407;1.33411;1.33388;1.33396;549
20260605 1427;1.33396;1.33398;1.33379;1.3338;699
20260605 1430;1.3338;1.33402;1.33372;1.3339;663
20260605 1433;1.3339;1.3341;1.33388;1.33406;449
20260605 1436;1.33406;1.33436;1.33404;1.33419;658
20260605 1439;1.33419;1.33421;1.33377;1.33377;473
20260605 1442;1.33377;1.33378;1.33356;1.33376;615
20260605 1445;1.33376;1.33376;1.33338;1.33354;735
20260605 1448;1.33354;1.33397;1.33347;1.33376;830
20260605 1451;1.33376;1.33387;1.3337;1.33377;461
20260605 1454;1.33377;1.33437;1.33365;1.33413;1077
20260605 1457;1.33413;1.33413;1.33364;1.33367;706
20260605 1500;1.33367;1.33377;1.33356;1.33376;465
20260605 1503;1.33376;1.33383;1.33355;1.33365;481
20260605 1506;1.33365;1.33366;1.33335;1.33336;547
20260605 1509;1.33336;1.33357;1.33335;1.33339;544
20260605 1512;1.33339;1.33347;1.33336;1.33343;580
20260605 1515;1.33343;1.33344;1.33317;1.33317;398
20260605 1518;1.33317;1.33324;1.33307;1.33321;727
20260605 1521;1.33321;1.33334;1.33303;1.33321;556
20260605 1524;1.33321;1.33347;1.33316;1.33334;459
20260605 1527;1.33334;1.33351;1.33332;1.33351;350
20260605 1530;1.33351;1.33353;1.3332;1.33321;507
20260605 1533;1.33321;1.33343;1.33318;1.33328;550
20260605 1536;1.33328;1.33353;1.33323;1.33352;401
20260605 1539;1.33352;1.33354;1.33326;1.33329;468
20260605 1542;1.33329;1.33372;1.33329;1.33362;619
20260605 1545;1.33362;1.33373;1.33356;1.33373;516
20260605 1548;1.33373;1.33396;1.33364;1.3339;773
20260605 1551;1.3339;1.33406;1.33386;1.33394;538
20260605 1554;1.33394;1.33404;1.33387;1.33387;462
20260605 1557;1.33387;1.334;1.33375;1.33378;745
20260605 1600;1.33378;1.33379;1.33355;1.33358;533
20260605 1603;1.33358;1.33358;1.33338;1.33338;321
20260605 1606;1.33338;1.33339;1.33318;1.33324;336
20260605 1609;1.33324;1.33337;1.33315;1.33315;288
20260605 1612;1.33315;1.33317;1.33305;1.33306;179
20260605 1615;1.33306;1.33325;1.33306;1.33323;211
20260605 1618;1.33323;1.33357;1.33319;1.33356;265
20260605 1621;1.33356;1.33367;1.33348;1.33362;377
20260605 1624;1.33362;1.33381;1.33361;1.3338;228
20260605 1627;1.3338;1.33383;1.33374;1.33374;157
20260605 1630;1.33374;1.33384;1.33366;1.33381;158
20260605 1633;1.33381;1.33384;1.33365;1.33369;396
20260605 1636;1.33369;1.33384;1.33356;1.3336;553
20260605 1639;1.3336;1.33362;1.33348;1.33359;765
20260605 1642;1.33359;1.3337;1.33344;1.33369;462
20260605 1645;1.33369;1.3338;1.33359;1.33374;691
20260605 1648;1.33374;1.334;1.3337;1.33392;470
20260605 1651;1.33392;1.33403;1.33364;1.33367;877
20260605 1654;1.33367;1.33379;1.33298;1.33298;473
20260605 1657;1.33298;1.33298;1.33296;1.33296;1
