Date,Message
"====================================
Chart Info: FX:GBPUSD
Timeframe: 15 Minute(s)
Timezone: America/New_York
Start Date: 2026-03-31 16:30 (Actual)
End Date: Last Candle
Data Format: YYYYMMDD HHMM;Open;High;Low;Close;Volume
===================================="
20260331 1630;1.32288;1.32295;1.32257;1.32275;5572
20260331 1645;1.32275;1.32279;1.32174;1.32174;2268
20260331 1700;1.32174;1.3227;1.32168;1.32213;79
20260331 1715;1.32213;1.32249;1.32187;1.32233;147
20260331 1730;1.32233;1.32247;1.3223;1.32236;332
20260331 1745;1.32236;1.3224;1.32184;1.32193;387
20260331 1800;1.32193;1.3231;1.32193;1.32246;1159
20260331 1815;1.32246;1.32282;1.32235;1.32257;489
20260331 1830;1.32257;1.32301;1.32257;1.32296;485
20260331 1845;1.32296;1.32312;1.3229;1.32308;218
20260331 1900;1.32308;1.32322;1.3229;1.32317;430
20260331 1915;1.32317;1.32383;1.32314;1.32375;720
20260331 1930;1.32375;1.32403;1.32369;1.3238;1009
20260331 1945;1.3238;1.32442;1.32371;1.3243;1941
20260331 2000;1.3243;1.32462;1.32391;1.32462;2476
20260331 2015;1.32462;1.32534;1.32457;1.32524;2104
20260331 2030;1.32524;1.32544;1.32488;1.32516;1602
20260331 2045;1.32516;1.32523;1.32434;1.32464;2018
20260331 2100;1.32464;1.32475;1.32196;1.32366;5228
20260331 2115;1.32366;1.32366;1.32269;1.32351;3015
20260331 2130;1.32351;1.32363;1.32208;1.32261;2783
20260331 2145;1.32261;1.32328;1.32234;1.32312;2380
20260331 2200;1.32312;1.32395;1.32295;1.32366;1992
20260331 2215;1.32366;1.32387;1.32356;1.32361;1542
20260331 2230;1.32361;1.32387;1.32312;1.32377;1871
20260331 2245;1.32377;1.32435;1.32376;1.32401;1591
20260331 2300;1.32401;1.32401;1.32349;1.32373;1815
20260331 2315;1.32373;1.32393;1.32352;1.32359;1313
20260331 2330;1.32359;1.32374;1.32348;1.32359;1341
20260331 2345;1.32359;1.32359;1.32315;1.32335;1386
20260401 0000;1.32335;1.3239;1.32324;1.32371;1135
20260401 0015;1.32371;1.3238;1.32335;1.32379;1574
20260401 0030;1.32379;1.32411;1.32354;1.32411;1337
20260401 0045;1.32411;1.32433;1.32387;1.32427;1322
20260401 0100;1.32427;1.3251;1.32413;1.32493;1994
20260401 0115;1.32493;1.32563;1.32476;1.32555;1802
20260401 0130;1.32555;1.32612;1.32545;1.32612;1534
20260401 0145;1.32612;1.32652;1.32564;1.32564;2414
20260401 0200;1.32564;1.32675;1.32551;1.32657;4257
20260401 0215;1.32657;1.32892;1.32648;1.32853;4507
20260401 0230;1.32853;1.32892;1.32756;1.32857;5891
20260401 0245;1.32857;1.32928;1.32806;1.32887;5629
20260401 0300;1.32887;1.32915;1.32772;1.32818;6110
20260401 0315;1.32818;1.3291;1.32753;1.32773;4209
20260401 0330;1.32773;1.32844;1.32725;1.32806;5663
20260401 0345;1.32806;1.32874;1.32625;1.32653;5690
20260401 0400;1.32653;1.32807;1.32614;1.32695;5369
